url,availibility,description,price,acres,APN,coords,taxes,images
na,Available,A,10000,1.3,N/A,"37.461616227634998, -105.683320999147000",200,https://i.imgur.com/iCDyPAt.jpg
na,Available,A,12500,1.5,N/A,"42.339419999999997, -121.412554999999998",200,https://i.imgur.com/uxArVYT.jpg
na,Available,A,20000,2.3,N/A,"37.461616227634998, -105.683320999147000",166,https://i.imgur.com/gqe3YNH.jpg
na,Available,A,5000,0.45,N/A,"34.989519999999999, -108.317621000000003",200,https://i.imgur.com/NjXDi6S.jpg
https://www.landwatch.com/cocke-county-tennessee-undeveloped-land-for-sale/pid/414871745,Available,"Parcel Number: 034K-B-041.06, Cocke County TN
TBD Rigby Way, Parrottsville TN 37843

GPS Coordinates: 36.0128, -83.0325
Lot 13 Highland Meadows Est and 




This rolling 1 acre lot is a beautifully situated build site with gorgeous views, surrounded by farm country yet convenient to everything.  Large trees provide shade and privacy.  Double-wide, modular and tiny homes are permitted; light deed restrictions protect property values, and no HOA. Electric is available but will need well/septic. 

Just minutes to Newport for restaurants, shopping, banking, medical facilities, 2-Rivers and Douglas Lake.  Parrottsville Elementary is only 5mins away. Parrottsville is just 45 mins to anywhere, including Gatlinburg, Pigeon Forge, East Knoxville, Morristown and Greeneville. Cocke County has 3 rivers, Douglas Lake, white water rafting, hiking, biking, fishing, and canoeing/kayaking.  Buyer to veri...Just minutes to Newport for restaurants, shopping, banking, medical facilities, 2-Rivers and Douglas Lake.  Parrottsville Elementary is only 5mins away. Parrottsville is just 45 mins to anywhere, including Gatlinburg, Pigeon Forge, East Knoxville, Morristown and Greeneville. Cocke County has 3 rivers, Douglas Lake, white water rafting, hiking, biking, fishing, and canoeing/kayaking.  Buyer to verify all information.  Look no further for your perfect new home site!",13900,1,N/A,"36.013060000000003, -83.032934999999995",200,"https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095451803,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095451804,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095451805,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095451806,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095451807,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095451808,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842774,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842775,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842776,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842777,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842778,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842779,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842780,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842781,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842808,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842804,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842803,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842805,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842806,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842807,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842788,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842789,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842791,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842790,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842794,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842795,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842798,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842799,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4108842797,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460291,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460287,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460288,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460289,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460290,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460285,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460286,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460292,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460293,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460294,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460295,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460296,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460298,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460297,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460299,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4109460300"
https://www.landwatch.com/alamosa-county-colorado-farms-and-ranches-for-sale/pid/415356111,Available,"Seller Financing Price: Contact us!
Affordable land for you to build or invest in! You will have amazing VIEWS of majestic Mt. Blanca! Easy access to Hwy 160 to Alamosa, Blanca, and Fort Garland. 10 miles to downtown Alamosa which has a Walmart and everything else you need and want. Bigger cities and destinations like Taos, Pueblo, and Colorado Springs are within a 1 to 3 hours drive. Power is nearby and no HOA. Great home-building site! Come to visit.

Property Details:
Size: 1.12 Acres
Build-able:
Best Attribute: Level lot with amazing mountain views
General Location: 11.3 miles to Alamosa
Annual Approximate Property Tax: $ 65
Zoning: Residential or Agricultural Use (RU)
Center of the GPS Coordinates: 37.461616227635, -105.683320999147 (Google direction is Here)
General Elevation: 7590
HOA/POA: NO
Terrain: Level
Power: Buyer to install City Power or Solar Power
Sewer and Water: Buyer t...Sewer and Water: Buyer to drill a well and install a septic tank
Roads: Yes
Time to Build: No limit",6490,1.12,N/A,"37.461616227634998, -105.683320999147000",65,"https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4113762035,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4113762036,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4113762038,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4113762037,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4113762039"
https://www.landwatch.com/mohave-county-arizona-undeveloped-land-for-sale/pid/415423493,Available,"Desirable 1+ Acre Parcel Located In The Town Of Dolan Springs
Dolan Springs Is A Friendly And Developing Town With Plenty To Offer
Low Taxes, No HOA, No CC&R's And Sensational Panoramic, Mountainous Views
This Location Makes This Parcel Ideal For Building A Forever Home, Weekend Getaway Or Investment
Power Poles Are Along Ironwood Dr and Cross Street For Convenient Access
Mt. Tipton Water Company Is At The Corner Allowing Water Services To Be Provided
Being In Town Allows All Your Immediate Needs To Be Just Minutes Away
1+ Mile To Mt. Tipton Elementary School
Less Than 1 Mile To Lake Mohave Ranchos Fire Department
Direct Access To Gas Stations, Shopping, Restaurants, Mail Services And More On Pierce Ferry Rd
40+ Miles To The Grand Canyon West Rim
6+ Miles To US Highway 93 For Direct Access To Major Cities Kingman, Bullhead And Las Vegas Nevada
***Take A Day Trip Out To Visit The Town Of ...***Take A Day Trip Out To Visit The Town Of Dolan Springs And See All This Parcel Has To Offer***",20000,1.25,N/A,"35.556429999999999, -114.270015000000001",200,"https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4116471952,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4116471953,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4116471954,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4116471955,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4116471956"
https://www.landwatch.com/cochise-county-arizona-recreational-property-for-sale/pid/414871126,Available,"At a little more than an acre, this incredible piece of land holds tons of potential as a remote homesite, an off-the-grid cabin, an unconventional or ""green"" house, or as an investment opportunity. The property is located in the platted community of Arizona Sun Sites, nestled in the foothills of Cochise Stronghold Mountain Range. It features level terrain, beautiful natural landscapes, mountain views, abundant sunshine, and lots of privacy. Good dirt roads lead to the lot meaning it could be a great place to set up an RV or camper. And when you want to enjoy some small-town hospitality, just head to the historic town of Pearce-Sunsites about 15 minutes away.

Lots of people come to Southern Arizona for its abundance of outdoor activities, including camping, hiking, mountain biking, hunting, RV'ing, and so much more. This area is also growing as a destination for wine-tasting at local vi...Lots of people come to Southern Arizona for its abundance of outdoor activities, including camping, hiking, mountain biking, hunting, RV'ing, and so much more. This area is also growing as a destination for wine-tasting at local vineyards. Basically, this part of the state is becoming a destination for relaxing, playing, and just getting away from it all.

Local towns and attractions include:
Community of Pearce  about 15 minutes
Apache Station Wildlife Viewing Area  about 20 minutes
City of Willcox  about 30 minutes
City of Benson  around 35 minutes
Apple Annie's Orchard  about 40 minutes
Rex Allen Arizona Cowboy Museum  about 40 minutes
Various Willcox vineyards  all about 40 minutes
Whitewater Draw Wildlife Area  about 50 minutes
Kartchner Caverns State Park  about 50 minutes
Leslie Canyon National Wildlife Refuge  about an hour
City of Tombstone  about an hour
Cochise Stronghold  about an hour
Fort Bowie National Historic Site  about an hour
Chiricahua National Monument  about an hour
City of Bisbee  a little more than an hour
City of Tucson  about 1.5 hours

Still have questions? Take a look at the property details below. You're welcome to drive out and visit the property anytime. And of course, you can contact us anytime. We look forward to working with you!

Down Payment: $500
Monthly Payment: varied based on term
Term Length: varies
County: Cochise
Size: 1.07 Acres
Short Legal: Lot 10 Block 76, Arizona Sun Sites Unit 1
Zoning: SR-43
Terrain: flat
Elevation: 4435 ft.
Road Access: yes, good gravel road
Electricity: in area, approximately 3000 ft from property line
Sewer: needs septic
Water: carried
Current Annual Taxes: $32.32 in 2021
Latitude: 31.9736806
Longitude: -109.9057192
Owner will carry; One member of the selling LLC is a licensed real estate agent in the state of Arizona",2495,1.07,N/A,"31.973680600000002, -109.905719199999993",32,"https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426590,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426599,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426596,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426598,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426593,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426594,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426591,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426592,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426597,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4095426595"
https://www.landwatch.com/campbell-county-tennessee-recreational-property-for-sale/pid/413525972,Available,"This 1.4 acre property sits in the Cumberland Plateau in Campbell County, TN. After a long day, drive down the paved road to your lakeview home and enjoy the gorgeous landscape from your deck. Drink your morning coffee from your front porch and watch the sun rise up over the Appalachian Valley. This will make a great lakeview family home, vacation home, or a great investment for your future.

All of our properties have been selected by going through a 20 point review to ensure high quality and the best deals on the market.

Acreage:1.4 acres
County: Campbell County
APN (Parcel Number): 007079L A 00500
Legal Description: DISTRICT: 1 ; SUBDIVISION: OVERLOOK BAY S/D ; LOT: 38 ; PLAT BOOK: A ; PLAT PAGE: 529
Estimated Annual Taxes: $128
Estimated Closing Costs: $500  $1,500, depending on if you would like title insurance or not.
Power  Solar, Wind, Generator: Power poles are visible from the...Power  Solar, Wind, Generator: Power poles are visible from the access road. Contact Jellico Electric & Water System (423-784-8431) or Powell Valley Electric Coop (423-626-5204). Alternative power is also an option (ie., solar power, power generator, or another alternative power source).
Water: Would have to dig a well or alternative
Sewer/Septic: Would have to install a septic system or alternative
Flood Zone: No
Elevation: 1259.8 ft
Access Type (Section line access, paved, dirt, gravel)
Yes, Saddle Ridge Drive and Horseshoe Bend
Building Restrictions (Please check with zoning with the county/city to make sure this lot fits your needs): No restrictions
HOA: None
Terrain Type (make sure there is a topographic map): Wooded / Hill / Slope
Camping/RV Restrictions: There are no restrictions from county
Livestock Restrictions: TBD
Nearest Gas Station
14 minutes to Sunoco
Nearest Attractions
30 minutes from Raging Axes
17 minutes from Doaks Creek Fishing
1 hour and 16 minutes from The Jumping Bridge on Norris Lake
Approximate GPS Coordinates
36.403034, -83.920850
Polygon Coordinates:
36.403354, -83.921381  NW
36.403103, -83.920142  NE
36.402799, -83.920112  SE
36.402758, -83.920815  S
36.403038, -83.921620  SW

Distance to:
28 minutes to LaFollette, TN
37 minutes to Jacksboro, TN
44 minutes to Tazewell, TN
1 hour and 8 minute to Knoxville, TN

GET DIRECTIONS ON GOOGLE MAPS

Whats the next step to buy this property? You will have to sign a purchase agreement and put down $500 non-refundable earnest money (will be applied toward closing costs at closing) to hold the property. Then we will get title to close in 1-3 weeks.

***This property is available for purchase now. If you would like to purchase this property, please submit a purchase agreement and $500 non-refundable earnest money. Properties cannot be held without signed purchase agreement and fee.***

**Please verify all information with the local authorities (county, power, water, etc) before paying the option fee or signing the purchase agreement. Information provided above was provided verbally by the authorities referenced, but some items might have changed.",20000,1.4,N/A,"36.403060000000004, -83.920869999999994",128,"https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602230,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602237,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602238,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602241,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602242,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602243,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602244,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602245,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602246,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602247,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602248,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602250,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602251,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602252,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602253,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602257,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602258,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4041602260"
https://www.landwatch.com/citrus-county-florida-undeveloped-land-for-sale/pid/413765365,Available,"Residential homesite lot in peaceful Citrus Springs Community, with outstanding schools, bike path, tennis courts, playground, and beautiful golf course. Purchase to build or as an investment.  Near to Boating, Fishing, Restaurants, Medical Facilities including numerous hospitals, schools, community amenities.  Ideal location for travel within Citrus or Marion County.  Drive to Tampa, St. Petersburg, Clearwater, Gainesville, Ocala, short drive to Gulf of Mexico.

Copyright  2022 REALTORS Association of Citrus County, Inc. All rights reserved. All information provided by the listing agent/broker is deemed reliable but is not guaranteed and should be independently verified.",16000,0.23,N/A,"29.005749999999999, -82.454130000000006",200,"https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4050717757,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4050717765,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4050717771,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4050717779,https://assets.landwatch.com/resizedimages/0/2000/w/800/1-4050717787"
